枚数,行政区,区分
300,北区,機関誌
300,左京区,機関誌
100,北区,機関誌
100,左京区,機関誌
600,左京区,機関誌
700,上京区,機関誌
400,上京区,機関誌
170,左京区,機関誌
100,上京区,機関誌
100,中京区,機関誌
110,左京区,機関誌
400,中京区,機関誌
200,中京区,機関誌
400,中京区,機関誌
400,中京区,機関誌
400,中京区,機関誌
400,中京区,機関誌
500,中京区,確認団体ビラ
500,左京区,確認団体ビラ
200,中京区,機関誌
150,中京区,機関誌
600,中京区,機関誌
50,中京区,機関誌
100,下京区,機関誌
400,東山区,機関誌
100,東山区,機関誌
200,下京区,機関誌
150,下京区,機関誌
100,下京区,機関誌
100,下京区,機関誌
200,下京区,機関誌
200,下京区,機関誌
40,下京区,機関誌
200,下京区,機関誌
400,下京区,機関誌
160,下京区,機関誌
350,下京区,機関誌
800,下京区,機関誌
170,南区,機関誌
